Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-08-25,39.628071,39.628071,39.307785,39.518883,1474
2008-08-26,39.307785,39.63535,39.125805,39.598954,2439
2008-08-27,39.671746,39.82461,39.533441,39.744538,2316
2008-08-28,39.475207,40.035707,39.475207,40.035707,450
2008-08-29,39.846448,40.181292,39.846448,40.181292,260
2008-09-01,39.671746,39.679025,39.671746,39.671746,588
2008-09-02,39.475207,39.613512,39.227714,39.227714,1581
2008-09-03,39.103967,39.584396,38.936545,39.16948,645
2008-09-04,39.082129,39.234993,38.776402,38.776402,390
2008-09-05,38.725448,39.07485,38.579863,38.60898,315
2008-09-08,39.431532,39.853727,39.307785,39.63535,3110
2008-09-09,39.511603,39.511603,39.07485,39.07485,3740
2008-09-10,37.859221,38.485233,37.851941,38.485233,1670
2008-09-11,39.140363,39.300506,38.79824,38.79824,721
2008-09-12,38.972941,39.526162,38.972941,39.489766,1386
2008-09-15,38.79824,39.336902,38.390604,39.336902,2846
2008-09-16,37.509818,38.361487,36.752779,38.361487,3580
2008-09-17,39.380577,39.409694,38.543467,38.805519,3423
2008-09-18,38.863753,39.016616,37.997526,38.303253,4068
2008-09-19,40.166733,40.654441,39.671746,40.421506,13324
2008-09-22,40.159454,40.159454,39.693584,39.693584,231
2008-09-23,39.140363,39.140363,38.9875,38.9875,820
2008-09-24,38.579863,39.053013,38.579863,38.943824,926
2008-09-25,38.812798,39.628071,38.558026,39.628071,1221
2008-09-26,39.460649,40.050266,39.380577,39.664467,4180
2008-09-29,40.530694,40.530694,39.213155,39.664467,1156
2008-09-30,38.33237,38.994779,37.902896,38.994779,1660
2008-10-01,39.759097,40.508856,39.373298,39.373298,2810
2008-10-02,41.069356,41.069356,40.545253,41.018402,1523
2008-10-03,41.091194,42.656226,40.625324,42.401454,2518
2008-10-06,40.778188,41.673532,39.45337,41.673532,4883
2008-10-07,41.273175,42.110285,38.659935,42.044772,8742
2008-10-08,40.159454,41.87735,38.790961,39.606233,15220
2008-10-09,41.185824,41.527947,40.064824,40.064824,2991
2008-10-10,35.013046,35.668176,32.028566,32.82928,6299
2008-10-13,34.139539,36.017578,34.139539,35.173189,6691
2008-10-14,39.890123,40.130337,37.779149,38.492513,4498
2008-10-15,38.23774,38.579863,35.202305,35.355169,2361
2008-10-16,33.66639,34.387033,32.392527,32.392527,2604
2008-10-17,37.218649,37.509818,35.15863,36.789175,4244
2008-10-20,37.524376,39.249552,37.524376,39.096688,1752
2008-10-21,41.484272,41.484272,39.620792,39.620792,1379
2008-10-22,39.890123,40.035707,37.524376,38.528909,2769
2008-10-23,37.597169,38.856474,36.396097,38.769123,4606
2008-10-24,38.339649,38.943824,36.796455,38.725448,5936
2008-10-27,38.579863,39.72998,38.033922,39.72998,1911
2008-10-28,39.460649,40.581649,38.994779,40.581649,6881
2008-10-29,41.578902,43.617083,41.018402,42.874603,8011
2008-10-30,42.132122,42.772694,40.47974,40.749071,2792
2008-10-31,42.583434,42.765415,42.321382,42.765415,680
2008-11-03,42.634389,42.874603,41.78272,42.190356,3225
2008-11-04,43.311356,43.311356,42.474246,42.910999,710
2008-11-05,43.311356,43.675317,42.71446,42.71446,846
2008-11-06,40.800025,41.673532,40.414227,40.414227,1342
